incident_description,primary_cause
"During a plant safety inspection, a loose railing was discovered atop the anaerobic digester. A wedge which was intended holds the rail section in place had worked loose, and with little effort, the railing was easily separated. Thus, the railing could not provide proper protection, so a falling hazard existed. The wedge was repositioned and made secure. Also, a section of unistrut was purchased then bolted to the railing as insurance against it working loose again. Although this repair appears unsightly, other options would have required machining and/or welding. Both being poor options when considering the proximity of methane about this unit. ",-NEGLIGENCE
This happened when a person went to use the confined space entry system the SRL was not working correctly. Before the person went to use it I looked it over and noticed that it was 23 year old and had not been inspected since 2003. I then check to see if it was working correctly which it was not. At that point I replaced it with the brand new SRL that I had just bought. ,-POOR_JUDGMENT-NEGLIGENCE
An employee was out meter reading and was attacked by a dog.  She was able to hit it with a rod to back it off. She was not harmed.  ,-NEGLIGENCE
Employee reports that a chemical odor caused an employee to have a coughing fit.,-CHEMICAL
The toilet in the 3rd stall from the door in the ladies restroom near the building entrance is broken and needs to be resealed to the wall. I sat on the toilet and it separated from the wall. ,-NEGLIGENCE
While walking through the break room I noticed an employee of our tenant who was wearing house slippers and not shoes. I emailed their point of contact telling them that proper foot wear needed to be used while on this property. ,-POOR_JUDGMENT-NEGLIGENCE
A distracted driver ignored flagger directions to stop and sped through workzone. She was headed for a head on collision with another vehicle and she avoided it by swerving into a gravel parking lot nearly hitting our other flagger. We did a safety alert and ordered small air horns to give to employees so they can alert others of the hazards.,-POOR_JUDGMENT-NEGLIGENCE
Employee noticed that a ladder that was being used by a contractor was not set up safely.  The ladder was extended past the area where it can be safely latched on a rung.  Employee told contractor that ladder must be used safely and that work cannot be resumed while using ladder until it is resolved.  ,-POOR_JUDGMENT-NEGLIGENCE
Contractor using grinder on metal door jam without eye protection. Asked him to stop and put on safety goggles. He did.,-NEGLIGENCE
Meter Reader marked this address unsafe. The yard was overgrown with weeds and wanted to avoid a possible snake bite or poison ivy.,-NEGLIGENCE
Neighbor to the left is discharging unknown substance into the air via exhaust fan which is entering the booster facility.,-CHEMICAL
"On Friday March 18th, our contractor was digging to install a 8'' main when they hit a gas main that was not marked.",-NEGLIGENCE
"Client is adding a corrosive chemical to the GAC's to kill off bacteria, the issue is that the plastic line is overhead and if it leaks it will spill on the staff below. I understand is a temp set up so I just asked the staff to be careful. ",-CHEMICAL
"Tire Warning Light came ON Dash Board of Joe Molnars AWE Vehicle 13316 ( Chevy 2500 P / U Truck ), ALERTING DRIVER THAT TIRE HAD A LOW 40 PSI.   Driver came back to shop and changed to SPARE TIRE.  ( Tire showing WARNING & WARE is a SAFETY ISSUE ! )",-VEHICLE-NEGLIGENCE
Found missing lug nut on wheel of fork lift reported and stopped using it until repairs were made.,-VEHICLE-NEGLIGENCE
During  the removal of a submersible pump a syringe was discovered stuck between the shackle and lifting chain.,-POOR_JUDGMENT-NEGLIGENCE
10:45 am 10/15/15 while driving on boughton one of the tubes on top of my work truck that I keep the b-box keys in came off and landed in the roadway.,-VEHICLE-NEGLIGENCE
"Espina Asphalt & Paving,  subcontractor to  AW subcontractor Kelvic Construction, was observed by Patrick Lewis, Senior Engineer, using a gas powered cut off saw. The walk behind saw Espina had been using to cut pavement broke down and the Espina foreman decided to use the cutoff saw free hand to complete the remainder of the cut. Espina had been briefed by Kelvic at a pre-job Safe Start that cutoff saws are expressly forbidden to be used on AW jobsites. Espina also has a separate contract with AW (for a different job) and within that contract Espina agrees to abide by all AW safety policies. They were aware of the policy and decided to violate it to save time. ",-NEGLIGENCE
"An employee noticed the antennae on truck was coming loose while driving. Concerned it could come completely off and hit another car, person or object. Stopped and reaffixed the antennae before proceeding. Now will inspect to assure securely mounted.",-VEHICLE-NEGLIGENCE
The desk drawer that I have has very sharp edges. I did not close the drawer all the way and scratched my wrist. It did not break the skin but a little swollen and red. I consulted with Joel Mitchell to see if anything could be done about the sharp edges. He is looking into it.,-NEGLIGENCE
